구분,주 기능,상세 기능,설명
1. 회원가입 / 로그인,1.1 회원가입,1.1.1 연동 계정으로 회원가입,구글
,1.2 로그인,1.2.1 이메일 또는 아이디와 비밀번호,구글
2. 홈,2.1 오늘의 목표,,목표는 분 단위로 계산 (오늘 10분 영어공부)
,2.2 오늘의 표현,,
,2.3 학습 시작하기,2.3.1 AI의 선톡,를 누르면 AI에게 선톡이 옵니다
,2.4 오답노트,2.4.1 오답 패턴 리포트 생성,자주 틀리는 오답 패턴 목록을 생성
,2.5 단어장,2.5.1 즐겨찾기 표현,
3. AI 친구 목록,3.1 AI친구 목록,3.1.1 AI 친구 즐겨찾기,
,,3.1.2 AI 친구 삭제하기,
,3.2 AI친구 검색,,
,3.3 AI친구 추가,3.3.1 개발자가 만들어둔 AI친구 목록,
,,3.3.2 사용자가 커스텀하는 AI친구,"직업, 성별, 성격, 이름"
4. AI 채팅 목록,4.1 AI채팅 목록,4.1.1 채팅방 고정하기,
,,4.1.2 채팅방 검색하기,
5. 설정,5.1 언어설정,5.1.1 앱 인터페이스 언어 설정,한국어 / 영어 선택
,"5.2  계정 설정, 프로필 편집",5.2.1 프로필사진 변경,현재 로그인 된 계정표시.
,,5.2.2 로그아웃,
,,5.2.3  계정탈퇴,
,5.3 테마 설정,5.3.1 다크모드 변경,다크모드 / 라이트모드 / 시스템설정
,5.4 알림 설정,5.4.1 알림 온오프,
